GeneID,gene,index
788,SLC25A20,8180
790,CAD,1075
795,S100G,7806
796,CALCA,1079
800,CALD1,1083
801,CALM1,1084
805,CALM2,1085
808,CALM3,1086
811,CALR,1089
813,CALU,1091
814,CAMK4,1101
815,CAMK2A,1096
816,CAMK2B,1097
817,CAMK2D,1098
818,CAMK2G,1099
819,CAMLG,1105
820,CAMP,1106
821,CANX,1112
822,CAPG,1115
823,CAPN1,1116
824,CAPN2,1119
825,CAPN3,1120
826,CAPNS1,1124
827,CAPN6,1121
829,CAPZA1,1127
830,CAPZA2,1128
832,CAPZB,1130
834,CASP1,1144
835,CASP2,1147
836,CASP3,1148
837,CASP4,1149
839,CASP6,1150
840,CASP7,1151
841,CASP8,1152
842,CASP9,1153
843,CASP10,1145
845,CASQ2,1154
846,CASR,1155
847,CAT,1157
857,CAV1,1161
858,CAV2,1162
859,CAV3,1163
860,RUNX2,7776
861,RUNX1,7774
862,RUNX1T1,7775
863,CBFA2T3,1167
864,RUNX3,7777
867,CBL,1168
869,CBLN1,1171
871,SERPINH1,8000
873,CBR1,1172
874,CBR3,1173
875,CBS,1175
881,CCIN,1201
883,KYAT1,4669
885,CCK,1202
886,CCKAR,1203
887,CCKBR,1204
889,KRIT1,4616
890,CCNA2,1231
891,CCNB1,1232
892,CCNC,1235
894,CCND2,1237
896,CCND3,1238
898,CCNE1,1240
899,CCNF,1242
900,CCNG1,1243
902,CCNH,1244
904,CCNT1,1248
905,CCNT2,1249
908,CCT6A,1267
909,CD1A,1281
910,CD1B,1282
911,CD1C,1283
912,CD1D,1284
913,CD1E,1285
914,CD2,1286
915,CD3D,1310
916,CD3E,1311
917,CD3G,1312
919,CD247,1295
920,CD4,1313
921,CD5,1320
923,CD6,1325
924,CD7,1329
925,CD8A,1339
926,CD8B,1340
928,CD9,1341
929,CD14,1274
930,CD19,1280
931,MS4A1,5425
932,MS4A3,5427
933,CD22,1291
939,CD27,1297
940,CD28,1299
941,CD80,1335
942,CD86,1338
943,TNFRSF8,9157
944,TNFSF8,9167
945,CD33,1306
947,CD34,1307
948,CD36,1308
949,SCARB1,7858
950,SCARB2,7859
952,CD38,1309
954,ENTPD2,2713
955,ENTPD6,2717
956,ENTPD3,2714
957,ENTPD5,2716
958,CD40,1314
959,CD40LG,1315
960,CD44,1316
961,CD47,1318
962,CD48,1319
963,CD53,1321
965,CD58,1323
966,CD59,1324
967,CD63,1326
968,CD68,1327
969,CD69,1328
970,CD70,1330
971,CD72,1331
972,CD74,1332
